text,hashtags,date,user,users number of followers,location
"guess who probably has covid :^)
",[],2020-10-16 00:09:38,Dyke_Jutsu,348,22 | they/he
"#Biden has Covid!
",['Biden'],2020-10-16 00:09:39,BergenHomesNJ,108,"New Jersey, USA"
"Coronavirus: UAE registers 1,431 cases, highest daily COVID-19 tally since outbreak - https://t.co/zOiMOvF79m
",[],2020-10-16 00:09:39,readmoreabout,11,
"#TrumpTownHall there’s more to life than covid! When you over talk the President your rude!
",['TrumpTownHall'],2020-10-16 00:09:39,Jonatha02789981,7,
"Chris Christie says he was in ICU for 7 days battling Covid-19, urges Americans to wear masks https://t.co/N66Or44C2E via @YahooNews
",[],2020-10-16 00:09:39,AmericanCFLFan,1190,"Cincinnati, OH"
"Trump: 4 Years in, and he Doesn't Know Anything
",[],2020-10-16 00:09:39,ehforgetit,23712,
"Where are our Surulere/Ojuelegba boys, just as you did during COVID-19, If the government won’t protect you protest yourself;  Now twiiter is up, let’s mobilize in groups, get on the street and show your youthfulness  #EndsSARS #EndSWATNow
",[],2020-10-16 00:09:39,onahcaleb1,1231,Africa
"I’m not into conspiracies so take this w/a grain of salt: I was thinking abt Trump’s maniacal rally schedule-few masks, 1000’s crammed together, shouting, sharing the air- &amp; wondering how many will get Covid from all these events? It should be hitting the fan around electn wk🤷‍♀️.
",[],2020-10-16 00:09:39,Luv_Da_USA,20698,"Home: Monterey Bay Area, CA "
"That is f*cking insane.
",[],2020-10-16 00:09:39,LexKuhne,3072,"Detroit, MI"
"Deplorable
",[],2020-10-16 00:09:39,mltaylor13pt1,506,
"RESPONSIBLE!!! #FactsNotFear #VoteBidenHarris2020 #BidenTownHall
","['FactsNotFear', 'VoteBidenHarris2020', 'BidenTownHall']",2020-10-16 00:09:40,We_The_Truth,328,
"Already @NBCNews and @SavannahGuthrie is stuck on Covid questions. Give me a fucking break. You people are ridiculous. #Trumptownhall
",['Trumptownhall'],2020-10-16 00:09:40,CF_Kracker,1514,Central Florida
"So far this Trump town hall is pathetic, question after question after question about him being sick with covid-19  Followed by the moderator basically TELLING the president how he needs to conduct his business! Outrageous!
",[],2020-10-16 00:09:40,GregKotseos,5099,"North Carolina, USA"
"Inspiring conversation today hosted by @YukonUniversity with Prime Minister @JustinTrudeau MP @LarryBagnell Minister @stbstvdan and an amazing group of innovators in #Yukon. Climate change, sustainable economy, and coming back after COVID - working together to rebuild better. https://t.co/UpandV6tb1
",[],2020-10-16 00:09:40,Premier_Silver,4313,"Dawson City, Yukon, Canada"
"Coronavirus: UAE registers 1,431 cases, highest daily COVID-19 tally since outbreak - https://t.co/yJDgZ1WhXY
",[],2020-10-16 00:09:41,readmoreabout,11,
"@celliottability All testing is useless for one simple fact, you could actually NOT have covid at the moment of testing and then 5 minutes later contract it.  How do people not see this?  Wake up people!  Your gov is lying to you and spending millions per day to stoke fear.
",[],2020-10-16 00:09:41,SuperMikhail1,286,rUSsiA 
"Over 3,700 Cuban health workers have volunteered in 39 countries to help fight COVID-19 in 2020.  I think they deserve the Nobel Peace Prize for their selfless humanitarianism saving lives and promoting cooperation between nations. If you agree, sign here https://bit .ly/3iIMRZw
",[],2020-10-16 00:09:41,DianeAn87192728,206,"Glasgow, Scotland"
"Proof Democrat’s are super spreaders
",[],2020-10-16 00:09:41,sus636,537,"Atlanta, GA"
"This bitch on Covid
",[],2020-10-16 00:09:41,darkprincefrost,2447,TEXAS
